"","Position","Year","Team"
"962",2,"1956","Balmain"
"963",3,"1956","South Sydney"
"964",4,"1956","Western Suburbs"
"965",5,"1956","Newtown"
"966",6,"1956","Manly Warringah"
"967",7,"1956","Canterbury"
"968",8,"1956","Eastern Sydney"
"969",9,"1956","North Sydney"
"970",10,"1956","Parramatta"
"981",1,"1957","St George"
"982",2,"1957","Manly Warringah"
"983",3,"1957","South Sydney"
"984",4,"1957","Western Suburbs"
"985",5,"1957","North Sydney"
"986",6,"1957","Balmain"
"987",7,"1957","Eastern Sydney"
"988",8,"1957","Newtown"
"989",9,"1957","Canterbury"
"990",10,"1957","Parramatta"
"1001",1,"1958","St George"
"1002",2,"1958","Western Suburbs"
"1003",3,"1958","Manly Warringah"
"1004",4,"1958","Balmain"
"1005",5,"1958","Newtown"
"1006",6,"1958","North Sydney"
"1007",7,"1958","Eastern Sydney"
"1008",8,"1958","South Sydney"
"1009",9,"1958","Canterbury"
"1010",10,"1958","Parramatta"
"1021",1,"1959","St George"
"1022",2,"1959","Western Suburbs"
"1023",3,"1959","Manly Warringah"
"1024",4,"1959","Newtown"
"1025",5,"1959","North Sydney"
"1026",6,"1959","South Sydney"
"1027",7,"1959","Balmain"
"1028",8,"1959","Eastern Sydney"
"1029",9,"1959","Canterbury"
"1030",10,"1959","Parramatta"
"1041",1,"1960","St George"
"1042",2,"1960","Western Suburbs"
"1043",3,"1960","Eastern Sydney"
"1044",4,"1960","Canterbury"
"1045",5,"1960","Balmain"
"1046",6,"1960","Manly Warringah"
"1047",7,"1960","North Sydney"
"1048",8,"1960","Newtown"
"1049",9,"1960","South Sydney"
"1050",10,"1960","Parramatta"
"1061",1,"1961","St George"
"1062",2,"1961","Western Suburbs"
"1063",3,"1961","Balmain"
"1064",4,"1961","Manly Warringah"
"1065",5,"1961","Eastern Sydney"
"1066",6,"1961","North Sydney"
"1067",7,"1961","South Sydney"
"1068",8,"1961","Canterbury"
"1069",9,"1961","Newtown"
"1070",10,"1961","Parramatta"
"1081",1,"1962","St George"
"1082",2,"1962","Newtown"
"1083",3,"1962","Western Suburbs"
"1084",4,"1962","Parramatta"
"1085",5,"1962","Eastern Sydney"
"1086",6,"1962","Canterbury"
"1087",7,"1962","Manly Warringah"
"1088",8,"1962","Balmain"
"1089",9,"1962","North Sydney"
"1090",10,"1962","South Sydney"
"1101",1,"1963","St George"
"1102",2,"1963","Western Suburbs"
"1103",3,"1963","Balmain"
"1104",4,"1963","Parramatta"
"1105",5,"1963","North Sydney"
"1106",6,"1963","Manly Warringah"
"1107",7,"1963","Newtown"
"1108",8,"1963","Canterbury"
"1109",9,"1963","South Sydney"
"1110",10,"1963","Eastern Sydney"
"1121",1,"1964","St George"
"1122",2,"1964","Parramatta"
"1123",3,"1964","Balmain"
"1124",4,"1964","North Sydney"
"1125",5,"1964","South Sydney"
"1126",6,"1964","Newtown"
"1127",7,"1964","Western Suburbs"
